measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1990,41761.74439,50568.3703,32955.11848
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1991,40575.67725,49404.39096,31746.96355
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1992,39786.23281,48031.21886,31541.24676
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1993,39169.95905,47385.96531,30953.95279
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1994,38479.34998,46410.66539,30548.03457
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1995,38197.89416,45713.58821,30682.20011
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1996,38329.98864,46624.53809,30035.43918
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1997,37021.68156,45144.84821,28898.51491
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1998,37092.07802,44317.09528,29867.06077
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1999,35812.94079,43094.22887,28531.6527
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2000,35883.54633,43226.57325,28540.5194
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2001,35284.9775,42097.96231,28471.99268
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2002,36319.33085,43757.04108,28881.62062
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2003,36333.46118,43539.05287,29127.86948
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2004,35945.881,43207.27837,28684.48364
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2005,36935.39643,44038.21232,29832.58054
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2006,42863.01613,51160.69321,34565.33905
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2007,43647.26183,52024.75168,35269.77197
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2008,44522.95623,53801.3289,35244.58355
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2009,47181.20495,56886.27718,37476.13272
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2010,49659.04979,59558.60875,39759.49083
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2011,56232.11432,67263.08749,45201.14116
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2012,58590.02548,69543.59602,47636.45494
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2013,58379.16348,69801.11633,46957.21062
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2014,57919.56358,68691.42085,47147.70632
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2015,60818.79587,71338.21397,50299.37777
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2016,61867.79229,73214.77606,50520.80851
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2017,60862.76581,71705.42611,50020.10551
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2018,57873.49531,69399.78605,46347.20456
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2019,54982.82747,66346.15137,43619.50357
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2020,48171.11852,58188.89013,38153.34692
1,Deaths,1,Global,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2021,44421.18188,54815.58102,34026.78273
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1990,1055.689095,1326.636143,784.7420477
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1991,1037.434686,1293.715161,781.1542115
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1992,1046.38447,1307.107277,785.6616624
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1993,1045.84424,1293.388107,798.3003723
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1994,1144.62099,1419.373038,869.8689417
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1995,1047.264002,1291.213432,803.314572
1,Deaths,1,Global,3,Both,6,5-9 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1996,1048.670629,1287.779098,809.5621603
